GAMECATEGORY,SUBCATEGORY,GAME,MIN PLAYERS,MAX PLAYERS,MINAGE,LEARNING CURVE,POPULARITY,"URL#1","URL#2","URL#3","URL#4","URL#5","URL#6","URL#7","URL#8",NOTES,DATED ADDED
WORD GAMES,WORD GAMES,Codenames ,4,8,,,High,http://codewordsgame.com/,https://www.horsepaste.com/,https://siemanko.github.io/words2/,https://netgames.io/games/codenames/,https://codewords.tv/home,https://ninjabunny.github.io/KodeNames,https://captnemo.in/codenames/,,,
WORD GAMES,WORD GAMES,Just One ,3,7,,,,https://runetiera.com/one,,,,,,,,,
WORD GAMES,WORD GAMES,Scattergories ,2,20,,Easy,,https://scattergoriesonline.net/ ,,,,,,,,,
WORD GAMES,WORD GAMES,Scrabble,2,4,,Easy,,https://www.pogo.com/games/scrabble,https://www.isc.ro/,,,,,,,,
WORD GAMES,WORD GAMES,Taboo,6,99,,,,https://playtaboo.com ,,,,,,,,,
GAME COLLECTION,TRIVIA GAMES,Sporcle,1,1,,,,https://www.sporcle.com/,,,,,,,,,
GAME COLLECTION,GAME COLLECTION,Board Game Arena,,,,,,http://boardgamearena.com,,,,,,,,,
GAME COLLECTION,GAME COLLECTION,Cardzmania,,,,,,https://www.cardzmania.com/games/,,,,,,,,,
GAME COLLECTION,GAME COLLECTION,Cool Math Games,,,,,,https://www.coolmathgames.com/ ,,,,,,,,,
GAME COLLECTION,GAME COLLECTION,Game Design,,,,,,https://www.gamedesign.jp/index_en.html,,,,,,,,,
GAME COLLECTION,GAME COLLECTION,Houseparty ,2,8,,,,https://app.houseparty.com/login,,,,,,,,,
GAME COLLECTION,GAME COLLECTION,Online Video Game Console,,,,,,https://www.airconsole.com/,,,,,,,,,
GAME COLLECTION,GAME COLLECTION,Orisinal,,,,,,http://www.ferryhalim.com/orisinal/ ,,,,,,,,,
GAME COLLECTION,GAME COLLECTION,Solitaire-Spiele GERMAN SITE,,,,,,https://solitaire-spiele.at,,,,,,,,,
GAME COLLECTION,GAME COLLECTION,Tabletopia,2,99,,,,https://www.tabletopia.com/,,,,,,,,,
GAME COLLECTION,GAME COLLECTION,Triqqy,,,,,,https://triqqy.com ,,,,,,,,,
GAME COLLECTION,GAME COLLECTION,Yucata,,,,,,https://www.yucata.de/en,,,,,,,,,
KIDS GAMES,DRAWING,Coloring Books,1,1,,,,http://www.colorthebe.com/ ,,,,,,,,,
KIDS GAMES,MMORPG,ToonTown,1,1,,,,https://www.toontownrewritten.com/,,,,,,,,,
KIDS GAMES,TEXT GAMES,TypeRacer for Kids,1,99,,,,https://play.typeracer.com/?universe=education,,,,,,,,,
POINT AND CLICK,,Open House,1,1,,,,https://corpsepile.itch.io/the-open-house,,,,,,,,,
